TARGET_FID,provinsi,POS_HUJAN_ID,NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,tipe_iklim
42,Sulut,71021701a,BPP Langowan Selatan,1.14,124.84,Monsunal
43,Sulut,71021801a,BPP Tondano Selatan,1.29,124.88,Monsunal
44,Sulut,71021901a,BPP Langowan Utara,1.18,124.86,Monsunal
45,Sulut,71050101a,UPTD Modoinding,0.8,124.45,Ekuatorial
46,Sulut,71050201a,UPTD Tompaso Baru,0.93,124.47,Monsunal
47,Sulut,71050301a,BPP Ranoyapo,0.99,124.5,Monsunal
48,Sulut,71050701a,BPP Motoling,1.04,124.47,Monsunal
49,Sulut,71050801a,BPP Sinonsayang,1.12,124.34,Monsunal
50,Sulut,71050901a,UPP Tenga,1.17,124.44,Monsunal
51,Sulut,71051001a,BPP Amurang,1.18,124.57,Monsunal
52,Sulut,71051201a,UPTD Tumpaan,1.27,124.62,Monsunal
53,Sulut,71051202a,BBTPH Tumpaan,1.27,124.62,Monsunal
54,Sulut,71051203a,BPP Tumpaan,1.26,124.61,Monsunal
55,Sulut,71051301a,UPTD Tareran,1.23,124.73,Monsunal
56,Sulut,71051601a,BPP Maesaan,0.88,124.48,Monsunal
57,Sulut,71051701a,BPP Amurang Barat,1.19,124.51,Monsunal
58,Sulut,71051801a,BPP Amurang Timur,1.21,124.6,Monsunal
59,Sulut,71051901a,BPP Tatapaan,1.28,124.61,Monsunal
60,Sulut,71052201a,BPP Motoling Timur,1.07,124.5,Monsunal
61,Sulut,71052301a,BPP Suluun Tareran,1.28,124.7,Monsunal
62,Sulut,71060101a,BPP Kema I,1.38,125.07,Ekuatorial
63,Sulut,71060102a,KD Makalisung,1.29,125.04,Ekuatorial
64,Sulut,71060201a,KC Kauditan,1.4,125.05,Ekuatorial
65,Sulut,71060202a,BPP Kauditan,1.39,125.02,Ekuatorial
66,Sulut,71060301a,UPP Airmadidi,1.43,124.98,Monsunal
67,Sulut,71060302a,BPP Airmadidi,1.43,124.97,Monsunal
68,Sulut,71060401a,BPP Wori,1.6,124.86,Monsunal
69,Sulut,71060501a,UPP Tatelu,1.54,125,Monsunal
70,Sulut,71060502a,BPP Dimembe,1.5,124.98,Monsunal
71,Sulut,71060503a,KD Klabat,1.5,125.06,Monsunal
72,Sulut,71060601a,KD Tarabitan Likupang Barat,1.74,124.99,Monsunal
73,Sulut,71060602a,BPP Likupang Barat,1.75,125,Monsunal
74,Sulut,71060701a,UPTD Likupang Timur,1.66,125.06,Monsunal
75,Sulut,71060702a,BPP Likupang Timur,1.66,125.11,Monsunal
76,Sulut,71060801a,BPP Kalawat,1.45,124.93,Monsunal
77,Sulut,71060901a,KD Talawaan,1.54,124.95,Monsunal
78,Sulut,71060902a,BPP Talawaan,1.55,124.95,Monsunal
79,Sulut,71060904a,Staklim Minahasa Utara,1.5,124.9,Monsunal
80,Sulut,71061001a,BPP Likupang Selatan,1.61,125.02,Monsunal
81,Sulut,71070101a,UPTD Ratahan,1.05,124.8,Ekuatorial
82,Sulut,71070102a,Bp4K Ratahan,1.04,124.79,Ekuatorial
83,Sulut,71070201a,BPP Pusomaen,0.99,124.87,Ekuatorial
84,Sulut,71070301a,BPP Belang,0.94,124.79,Ekuatorial
85,Sulut,71070401a,KC Ratatotok,0.94,124.79,Ekuatorial
86,Sulut,71070501a,TCSDP Tombatu,1.04,124.68,Monsunal
87,Sulut,71070502a,BPP Tombatu,1.37,124.68,Monsunal
88,Sulut,71070601a,BPP Touluaan,1.05,124.66,Monsunal
89,Sulut,71080101a,BPP Sangkub,0.87,123.64,Monsunal
90,Sulut,71080201a,BPP Bintauna,0.88,123.58,Monsunal
91,Sulut,71080301a,BPP Bolangitang Timur,0.88,123.44,Monsunal
92,Sulut,71080401a,BPP Bolangitang Barat,0.9,123.32,Monsunal
93,Sulut,71080501a,BPP Kaidipang,0.9,123.28,Monsunal
94,Sulut,71080601a,BPP Pinogaluman,0.91,123.13,Monsunal
95,Sulut,71100101a,BPP Tutuyan,0.74,124.61,Ekuatorial
96,Sulut,71100201a,UPP Kotabunan,0.81,124.66,Ekuatorial
97,Sulut,71100202a,BPP/KC Kotabunan,0.81,124.66,Ekuatorial
98,Sulut,71100301a,KD Molobog,0.65,124.54,Ekuatorial
99,Sulut,71100302a,BPP Nuangan,0.6,124.52,Ekuatorial
100,Sulut,71100401a,BPP Modayag,0.71,124.38,Ekuatorial
101,Sulut,71100501a,BPP Modayag Barat,0.72,124.37,Ekuatorial
102,Sulut,71110101a,KC Bolaang Uki,0.39,123.98,Lokal
103,Sulut,71110201a,BPP Posigadan,0.3,123.62,Ekuatorial
104,Sulut,71110301a,UPTD Pinolosian,0.39,124.12,Lokal
105,Sulut,71110401a,BPP Pinolosian Tengah,0.44,124.26,Lokal
106,Sulut,71110501a,BPP Pinolosian Timur,0.48,124.35,Lokal
107,Sulut,71710102a,KKel. Tongkaina,1.58,124.82,Monsunal
108,Sulut,71710103a,KKel. Meras,1.55,124.82,Monsunal
109,Sulut,71710104a,KKel. Bailang,1.53,124.85,Monsunal
110,Sulut,71710201a,KC Tuminting,1.51,124.85,Monsunal
111,Sulut,71710202a,Bp4K Manado,1.5,124.84,Monsunal
112,Sulut,71710501a,KKel. Paal 4,1.47,124.87,Monsunal
113,Sulut,71710801a,BPP Mapanget,1.56,124.86,Monsunal
114,Sulut,71710802a,KP Pandu,1.58,124.88,Monsunal
115,Sulut,71710803a,KKel. Kairagi II,1.5,124.9,Monsunal
116,Sulut,71710804a,POLITEKNIK,1.51,124.89,Monsunal
117,Sulut,71710805a,Stamet Samrat,1.54,124.92,Monsunal
118,Sulut,71710901a,Stageof Winangun,1.45,124.84,Monsunal
119,Sulut,71710902a,KKel. Malalayang II,1.45,124.8,Monsunal
120,Sulut,71710903a,Faperta Unsrat,1.46,124.83,Monsunal
121,Sulut,71720201a,Stamar Bitung,1.44,125.18,Ekuatorial
122,Sulut,71720301a,UPT Danowudu,1.46,125.13,Ekuatorial
123,Sulut,71720302a,TWA-BKSDA Batu Putih,1.57,125.16,Monsunal
124,Sulut,71720304a,KKel. Pinasungkulan,1.55,125.12,Monsunal
125,Sulut,71720401a,BPP Aertembaga,1.46,125.21,Ekuatorial
126,Sulut,71720501a,UPT Matuari,1.43,125.11,Ekuatorial
127,Sulut,71720502a,KKel. Tendeki,1.45,125.1,Ekuatorial
128,Sulut,71720702a,KKel. Kakenturan II,1.46,125.2,Ekuatorial
129,Sulut,71730101a,BPP/UPTD Tumatantang,1.3,124.83,Monsunal
130,Sulut,71730201a,BPP Tomohon Tengah,1.34,124.84,Monsunal
131,Sulut,71730301a,BPP Tomohon Utara,1.39,124.82,Monsunal
132,Sulut,71730401a,BPP Tomohon Barat,1.32,124.78,Monsunal
133,Sulut,71730501a,BPP Tomohon Timur,1.3,124.85,Monsunal
134,Sulut,71740101a,BPP Kotamobagu Utara,0.76,124.34,Ekuatorial
135,Sulut,71740201a,BPP Kotamobagu Timur,0.72,124.32,Ekuatorial
136,Sulut,71740301a,BPP Kotamobagu Selatan,0.72,124.29,Ekuatorial
137,Sulut,71740401a,BPP Mongkonai,0.74,124.28,Ekuatorial
138,Sulut,71740402a,KC Kotamobagu Barat,0.74,124.28,Ekuatorial
139,Sulteng,72010101a,Bakung,-1.3,122.52,Lokal
140,Sulteng,72010201a,Beringin,-0.87,122.22,Lokal
141,Sulteng,72010301a,Kintom,-1.16,122.66,Lokal
142,Sulteng,72010401a,Luwuk,-0.95,122.79,Lokal
143,Sulteng,72010402a,Stamet Luwuk,-0.94,122.79,Lokal
144,Sulteng,72010403a,Salodik,-0.82,122.87,Lokal
145,Sulteng,72010501a,Baruga,-0.89,123.15,Lokal
146,Sulteng,72010601a,Balantak,-0.88,123.39,Lokal
147,Sulteng,72010701a,Pagimana,-0.79,122.64,Lokal
148,Sulteng,72010801a,Samaku,-0.6,123.06,Lokal
149,Sulteng,72010901a,Tolisu,-1.44,122.28,Lokal
150,Sulteng,72010902a,Cendana Pura,-1.44,122.35,Lokal
151,Sulteng,72011001a,Cemerlang,-0.86,123.14,Lokal
152,Sulteng,72011101a,Luwuk Timur,-0.86,123.04,Lokal
153,Sulteng,72011201a,Pandan Wangi,-1.53,122.29,Lokal
154,Sulteng,72011301a,Nuhon,-0.96,122.11,Lokal
155,Sulteng,72011401a,Moilong,-1.43,122.42,Lokal
156,Sulteng,72011501a,Sinorang,-1.39,122.45,Lokal
157,Sulteng,72011701a,Simpang Raya,-0.94,122.24,Lokal
158,Sulteng,72020101a,Poso Kota,-1.38,120.74,Ekuatorial
159,Sulteng,72020201a,Stamet Poso,-1.36,120.64,Ekuatorial
160,Sulteng,72020301a,Maliwuko,-1.43,120.77,Ekuatorial
161,Sulteng,72020501a,Pamona Timur,-1.89,120.82,Ekuatorial
162,Sulteng,72020502a,Tentena,-1.75,120.65,Ekuatorial
163,Sulteng,72020601a,Pandayora,-2.12,120.7,Ekuatorial
164,Sulteng,72020701a,Lore Utara,-1.43,120.32,Ekuatorial
165,Sulteng,72020801a,Stasiun PAG Lore Lindu Bariri,-1.71,120.24,Ekuatorial
166,Sulteng,72021801a,Kilo,-1.28,120.59,Ekuatorial
167,Sulteng,72021901a,Tangkura,-1.49,120.63,Ekuatorial
168,Sulteng,72022401a,Maholo,-1.48,120.38,Ekuatorial
169,Sulteng,72022501a,Lore Piore,-1.53,120.33,Ekuatorial
170,Sulteng,72030401a,Lalundu,-1.29,119.51,Ekuatorial
171,Sulteng,72030601a,Karya Mukti,0.17,119.93,Ekuatorial
172,Sulteng,72030801a,Gunung Bale,-0.68,119.75,Lokal
173,Sulteng,72030901a,Labuan Salumbone,-0.67,119.82,Lokal
174,Sulteng,72030902a,Simou,-0.63,119.85,Lokal
175,Sulteng,72031001a,Sindue,-0.6,119.85,Lokal
176,Sulteng,72031002a,Lero,-0.62,119.8,Lokal
177,Sulteng,72031101a,Lompio,-0.2,119.85,Ekuatorial
178,Sulteng,72031201a,Balaesang,-0.02,119.89,Ekuatorial
179,Sulteng,72031401a,Siboang,0.5,120.04,Ekuatorial
180,Sulteng,72031801a,Surumana,-0.83,119.62,Ekuatorial
181,Sulteng,72031802a,Tanamea,-0.83,119.62,Ekuatorial
182,Sulteng,72031803a,Watatu,-0.87,119.59,Ekuatorial
183,Sulteng,72031804a,Lumbumamara,-0.82,119.68,Lokal
184,Sulteng,72031901a,Nupabomba,-0.72,119.96,Lokal
185,Sulteng,72032401a,Tibo,-0.49,119.76,Lokal
186,Sulteng,72032501a,Sindue Tobata,-0.34,119.76,Ekuatorial
187,Sulteng,72032701a,Kola Kola,-0.72,119.71,Lokal
188,Sulteng,72032702a,Kabonga Besar,-0.71,119.76,Lokal
189,Sulteng,72033001a,Ogoamas,0.73,120.14,Ekuatorial
190,Sulteng,72033101a,Kamonji,-0.11,119.68,Ekuatorial
191,Sulteng,72040101a,Lempe,0.77,120.21,Ekuatorial
192,Sulteng,72040201a,Bambapula,0.98,120.3,Ekuatorial
193,Sulteng,72040301a,Lais,0.78,120.45,Ekuatorial
194,Sulteng,72040401a,Kayu Lompa,0.74,120.67,Ekuatorial
195,Sulteng,72040501a,Bilo,0.92,120.64,Ekuatorial
196,Sulteng,72040601a,Tinading,0.92,120.8,Ekuatorial
197,Sulteng,72040701a,Buntuna,1.02,120.8,Ekuatorial
198,Sulteng,72040801a,Stamet Toli-Toli,1.13,120.88,Ekuatorial
199,Sulteng,72040901a,Salumpaga,1.32,120.96,Ekuatorial
200,Sulteng,72041001a,Dungingis,1.25,120.82,Ekuatorial
201,Sulteng,72050201a,Lakea,1.23,121.24,Ekuatorial
202,Sulteng,72050401a,Lonu,1.03,121.56,Ekuatorial
203,Sulteng,72050701a,Boilan,1.08,121.3,Ekuatorial
204,Sulteng,72050801a,Modo,0.99,121.46,Ekuatorial
205,Sulteng,72060101a,Mori Atas,-1.97,120.98,Ekuatorial
206,Sulteng,72060201a,Wara'A,-2.16,121.22,Ekuatorial
207,Sulteng,72060301a,Petasia,-2.02,121.34,Ekuatorial
208,Sulteng,72060501a,Bahomoleo,-2.45,121.91,Ekuatorial
209,Sulteng,72060801a,Umpanga,-2.29,121.81,Ekuatorial
210,Sulteng,72061001a,Bahodopi,-2.79,122.13,Ekuatorial
211,Sulteng,72061201a,Sampean Taba,-2.24,121.66,Ekuatorial
212,Sulteng,72061401a,Mori Utara,-1.99,120.98,Ekuatorial
213,Sulteng,72080101a,Baliara,-0.81,120.17,Lokal
214,Sulteng,72080201a,Ampibabo,-0.45,120.07,Ekuatorial
215,Sulteng,72080401a,Pembuni,0.47,121.2,Ekuatorial
216,Sulteng,72080402a,Moutong Barat,0.47,121.21,Ekuatorial
217,Sulteng,72080601a,Sausu,-1.05,120.45,Ekuatorial
218,Sulteng,72080701a,Anutapura,0.5,120.97,Ekuatorial
219,Sulteng,72080901a,Torue,-0.98,120.32,Ekuatorial
220,Sulteng,72081001a,Polly,-0.02,120.09,Ekuatorial
221,Sulteng,72081101a,Dolago,-0.9,120.23,Lokal
222,Sulteng,72081301a,Toribulu,-0.33,120.02,Ekuatorial
223,Sulteng,72081501a,Suli,-1.01,120.4,Ekuatorial
224,Sulteng,72081701a,Siniu,-0.54,120.05,Lokal
225,Sulteng,72081801a,Palasa,0.5,120.42,Ekuatorial
226,Sulteng,72090401a,Ampana Tete,-0.87,121.66,Ekuatorial
227,Sulteng,72090501a,Ampana Kota,-0.92,121.57,Ekuatorial
228,Sulteng,72090601a,Kabelo,-1.44,121.05,Ekuatorial
229,Sulteng,72090602a,Cempa,-0.96,121.46,Ekuatorial
230,Sulteng,72090801a,Tayawa,-1.44,121.09,Ekuatorial
231,Sulteng,72100101a,Biromaru,-0.96,119.92,Lokal
232,Sulteng,72100201a,Bahagia,-1.15,120.1,Lokal
233,Sulteng,72100202a,Makmur,-1.14,120.06,Lokal
234,Sulteng,72100203a,Soulove,-1.03,119.93,Lokal
235,Sulteng,72100501a,Sungku,-1.46,119.99,Ekuatorial
236,Sulteng,72100601a,Gimpu,-1.62,120.04,Ekuatorial
237,Sulteng,72100801a,Gumbasa,-1.19,119.94,Lokal
238,Sulteng,72100901a,Baluase,-1.21,119.89,Lokal
239,Sulteng,72100902a,Mantikole,-1.08,119.87,Lokal
240,Sulteng,72101201a,Sidondo,-1.11,119.91,Lokal
241,Sulteng,72101202a,Tulo,-1.02,119.89,Lokal
242,Sulteng,72101301a,Kinovaro,-0.96,119.83,Lokal
243,Sulteng,72710101a,Layana Indah,-0.81,119.9,Lokal
244,Sulteng,72710201a,Stageof Palu,-0.91,119.84,Lokal
245,Sulteng,72710301a,Stamet Palu,-0.92,119.9,Lokal
246,Sulteng,72710401a,Kayumalue,-0.76,119.88,Lokal
247,Sulsel,73020101a,Bonto Macina,-5.51,120.12,Lokal
248,Sulsel,73020201a,BPP Tanah Kongkong,-5.56,120.18,Lokal
249,Sulsel,73020301a,Bonto Bahari,-5.53,120.36,Lokal
250,Sulsel,73020401a,Bontotanga,-5.44,120.35,Lokal
251,Sulsel,73020501a,Herlang,-5.4,120.37,Lokal
252,Sulsel,73020601a,Tanajaya / Kajang,-5.34,120.35,Lokal
253,Sulsel,73020801a,Bulo-Bulo / Tanete,-5.36,120.14,Monsunal
254,Sulsel,73020802a,Borong Rapoa,-5.39,120.04,Monsunal
255,Sulsel,73020901a,Bpp. Paruku/Ujung Loe,-5.34,120.27,Monsunal
256,Sulsel,73021001a,Ex SMPK Batukaropa,-5.47,120.22,Lokal
257,Sulsel,73030101a,Campagaloe/ Bonto Jaya,-5.53,119.87,Monsunal
258,Sulsel,73030102a,Bonto Cinde,-5.55,119.89,Monsunal
259,Sulsel,73030201a,Bippl. Lamalaka,-5.55,119.96,Lokal
260,Sulsel,73030202a,Allu/ Karatuang,-5.53,119.96,Lokal
261,Sulsel,73030301a,Kampala / Eremerasa,-5.48,120,Lokal
262,Sulsel,73030401a,Tompobulu/ Banyorang,-5.45,120.04,Monsunal
263,Sulsel,73030501a,Pa' Jukukang / Nipa - Nipa,-5.56,120.02,Lokal
264,Sulsel,73030601a,Loka/Ulu Ere,-5.45,119.91,Lokal
265,Sulsel,73030701a,Dampang,-5.5,120.04,Lokal
266,Sulsel,73030702a,Baji Minasa,-5.5,120.07,Lokal
267,Sulsel,73030703a,Layoa,-5.54,120.08,Lokal
268,Sulsel,73030801a,Bonto Maccini,-5.5,119.93,Lokal
269,Sulsel,73040101a,BPP Benteng,-5.58,119.56,Monsunal
270,Sulsel,73040201a,Bpp Tamalatea,-5.62,119.65,Monsunal
271,Sulsel,73040202a,Pesantren Darul I'Tisham,-5.58,119.69,Monsunal
272,Sulsel,73040301a,Ex Smpk Pakkaterang,-5.67,119.73,Monsunal
273,Sulsel,73040401a,Tarowang,-5.6,119.86,Monsunal
274,Sulsel,73040601a,Kantor Kelurahan Bulu Jaya,-5.49,119.54,Monsunal
275,Sulsel,73040701a,Bulu Sibatang,-5.56,119.68,Monsunal
276,Sulsel,73040702a,Bangkalaloe,-5.6,119.72,Monsunal
277,Sulsel,73040801a,Bontomatene,-5.61,119.78,Monsunal
278,Sulsel,73040901a,Bendungan Kelara,-5.53,119.82,Monsunal
279,Sulsel,73040902a,Pattiroang,-5.65,119.82,Monsunal
280,Sulsel,73050101a,Bb Paddingin,-5.43,119.41,Monsunal
281,Sulsel,73050201a,Lakatong / Cikoang,-5.54,119.45,Monsunal
282,Sulsel,73050301a,Cakura,-5.42,119.51,Monsunal
283,Sulsel,73050401a,Bppk. Polobangkeng Utara,-5.39,119.45,Monsunal
284,Sulsel,73050402a,Ko'Mara,-5.39,119.55,Monsunal
285,Sulsel,73050403a,ex SMPK PG. Takalar,-5.36,119.5,Monsunal
286,Sulsel,73050404a,Tammuloe / Lassang,-5.33,119.48,Monsunal
287,Sulsel,73050501a,Bppk. Galesong,-5.32,119.39,Monsunal
288,Sulsel,73050502a,BP2K Galesong Selatan,-5.37,119.37,Monsunal
289,Sulsel,73050601a,Bonto Lebang,-5.42,119.39,Monsunal
290,Sulsel,73050701a,Pattalassang,-5.42,119.43,Monsunal
291,Sulsel,73050801a,Bppk Tottalasa,-5.47,119.42,Monsunal
292,Sulsel,73060101a,Bontonompo / Barembeng,-5.35,119.42,Monsunal
293,Sulsel,73060201a,Kipp Limbung / Bpp. Limbung,-5.29,119.44,Monsunal
294,Sulsel,73060202a,Bb. Punaga/Limbung,-5.28,119.43,Monsunal
295,Sulsel,73060301a,Bb. Garing,-5.44,119.84,Monsunal
296,Sulsel,73060302a,Ex Smpk Bpp. Malakaji,-5.43,119.85,Monsunal
297,Sulsel,73060401a,Ex Smpk Bb. Malino/Bpp. Tinggi Moncong,-5.25,119.85,Monsunal
298,Sulsel,73060403a,Tinggimoncong/ Bbi Kentang,-5.25,119.91,Monsunal
299,Sulsel,73060501a,Lonjoboko / Parangloe,-5.25,119.65,Monsunal
300,Sulsel,73060502a,Bbi Horti / Bonto - Bonto,-5.29,119.57,Monsunal
301,Sulsel,73060601a,Bontobilli,-5.29,119.57,Monsunal
302,Sulsel,73060801a,Disperta Gowa,-5.2,119.46,Monsunal
303,Sulsel,73060802a,Stageof Gowa Pagentungan,-5.2,119.48,Monsunal
304,Sulsel,73060901a,Molonro / Bungaya,-5.36,119.73,Monsunal
305,Sulsel,73061001a,Bpp. Bulluballea,-5.25,119.94,Monsunal
306,Sulsel,73061501a,Paranglompoa / Paladingan,-5.38,119.8,Monsunal
307,Sulsel,73070101a,Manipi / S. Barat,-5.21,120.01,Monsunal
308,Sulsel,73070201a,Aska / S. Selatan,-5.21,120.22,Monsunal
309,Sulsel,73070202a,Bikeru / S. Selatan,-5.26,120.15,Monsunal
310,Sulsel,73070301a,Panaikang,-5.15,120.25,Lokal
311,Sulsel,73070401a,Bpp. Lapadatta,-5.16,120.17,Monsunal
312,Sulsel,73070501a,Biringere / S. Utara,-5.13,120.25,Lokal
313,Sulsel,73070601a,Lamatti Riattang/Bulupoddo,-5.1,120.16,Monsunal
314,Sulsel,73070701a,Pasir Putih,-5.32,120.07,Monsunal
315,Sulsel,73070801a,Tellulimpoe,-5.26,120.21,Monsunal
316,Sulsel,73080101a,Bontocani,-5.03,120.08,Monsunal
317,Sulsel,73080201a,Bpp Kahu,-4.97,120.11,Monsunal
318,Sulsel,73080301a,Bpp. Bontobulaeng/Kajuara,-5.09,120.25,Lokal
319,Sulsel,73080401a,Biccoin,-4.99,120.28,Lokal
320,Sulsel,73080402a,Bpp Manera Salomekko,-4.98,120.27,Lokal
321,Sulsel,73080501a,Bpp Tonra,-4.96,120.27,Lokal
322,Sulsel,73080701a,Bpp Mare,-4.8,120.34,Lokal
323,Sulsel,73080802a,Bpp. Sibulue,-4.66,120.36,Lokal
324,Sulsel,73080901a,Tallungeng,-4.58,120.35,Lokal
325,Sulsel,73080902a,Unra,-4.45,120.31,Lokal
326,Sulsel,73080903a,Bako Ale / Barebbo,-4.62,120.35,Lokal
327,Sulsel,73080904a,Bpp Barebbo / Attabaja,-4.6,120.35,Lokal
328,Sulsel,73080905a,Talungeng/Desa Kading,-4.59,120.33,Lokal
329,Sulsel,73081001a,ex SMPK PG. Arasoe,-4.72,120.32,Lokal
330,Sulsel,73081101a,Ponre,-4.65,120.19,Lokal
331,Sulsel,73081201a,Bpp Lappariaja,-4.67,119.99,Monsunal
332,Sulsel,73081301a,Lamuru / Pacciro,-4.6,119.97,Monsunal
333,Sulsel,73081401a,Ulaweng,-4.52,120.14,Monsunal
334,Sulsel,73081501a,Jaling / Mico / Palaka,-4.49,120.24,Lokal
335,Sulsel,73081502a,Bpp Palakka,-4.57,120.26,Lokal
336,Sulsel,73081601a,Ma'Cope / Awangpone,-4.5,120.35,Lokal
337,Sulsel,73081701a,Tokaseng/T. Siatinge,-4.4,120.27,Lokal
338,Sulsel,73081702a,Bpp. Lanca / Tellu Siattinge,-4.38,120.24,Lokal
339,Sulsel,73081801a,Bpp. Ajangale / Pompanua,-4.23,120.19,Lokal
340,Sulsel,73081901a,Bendungan Unnyi,-4.33,120.2,Lokal
341,Sulsel,73081902a,Bpp Dua Boccoe,-4.32,120.25,Lokal
342,Sulsel,73082001a,Cenrana,-4.33,120.32,Lokal
343,Sulsel,73082101a,Biru/Tanete Riatang,-4.56,120.33,Lokal
344,Sulsel,73082102a,Diperta Watangpone,-4.54,120.33,Lokal
345,Sulsel,73082301a,Cellu/Tanete Riatang Timur,-4.56,120.33,Lokal
346,Sulsel,73082401a,Bpp Amali,-4.4,120.11,Monsunal
347,Sulsel,73082501a,Bpp Tellulimpoe,-5.27,120.23,Monsunal
348,Sulsel,73082601a,Bpp Bengo/ Selli,-4.62,120.02,Monsunal
349,Sulsel,73090101a,Bpp Mandai,-5.08,119.56,Monsunal
350,Sulsel,73090102a,Stamet Hasanuddin,-5.06,119.54,Monsunal
351,Sulsel,73090301a,Batubassi,-5.02,119.66,Monsunal
352,Sulsel,73090302a,Bonti-Bonti,-4.99,119.62,Monsunal
353,Sulsel,73090303a,Bpp. Bantimurung /Minasabaji,-5.01,119.63,Monsunal
354,Sulsel,73090401a,Staklim Maros,-5,119.57,Monsunal
355,Sulsel,73090601a,Bpp Mallawa,-4.86,119.91,Monsunal
356,Sulsel,73090602a,Gatareng Matinggi,-4.78,119.94,Monsunal
357,Sulsel,73090701a,Bpp Tanralili,-5.07,119.61,Monsunal
358,Sulsel,73090801a,Pattene Marusu,-5.06,119.51,Monsunal
359,Sulsel,73091001a,Bpp Cenrana,-5.02,119.78,Monsunal
360,Sulsel,73091002a,Kappang,-5.01,119.75,Monsunal
361,Sulsel,73091101a,Bpp Tompobulu,-5.14,119.65,Monsunal
362,Sulsel,73091102a,Tombolo,-5.14,119.65,Monsunal
363,Sulsel,73091201a,Pamelakang Jene / Solojirang,-4.99,119.57,Monsunal
364,Sulsel,73091301a,Bpp Moncongloe,-5.15,119.54,Monsunal
365,Sulsel,73100401a,Jagong,-4.84,119.53,Monsunal
366,Sulsel,73100501a,Balocci,-4.92,119.7,Monsunal
367,Sulsel,73100601a,Bungoro,-4.81,119.54,Monsunal
368,Sulsel,73100701a,Labakkang / Gentung,-4.75,119.55,Monsunal
369,Sulsel,73100801a,Bpp Ma'Rang,-4.67,119.57,Monsunal
370,Sulsel,73100901a,Segeri,-4.66,119.58,Monsunal
371,Sulsel,73101001a,Minasate'ne,-4.83,119.57,Monsunal
372,Sulsel,73101101a,Segeri / Mandale,-4.61,119.6,Monsunal
373,Sulsel,73101201a,Tondong Tallasa,-4.85,119.72,Monsunal
374,Sulsel,73110101a,Tompo Lemo-Lemo (Sdn. Menrong),-4.51,119.77,Monsunal
